file_hash,decompiled_file_name,raw_file_name,d_lookup_vs_decompiled,d_lookup_vs_repaired
019ad5c2db955ccc7701cefa68abf54203e07f121ffaf559b4d4cb109108819fe740f4c20a4cd631c5dc20edacb579719ca43c74363140b20277c9dfc1b2e92e,decompiled_Environment.cpython-312.py,Environment.py,2252,2768
0252979f6898d100fe37071e610c86cd697b92ab7b1da3e04bacb16104381863070fa7755bbcb7e16e3f13332ed3245682d94df0c7a0cc9c5418b71f41658234,decompiled_echarts.cpython-312.py,echarts.py,5866,5831
01c3c53c7f99aa4b3beda3716f40cf8b3097decc8915e4da6cd371931be4e510480aaf9a6b2c49826915e355f08e7a48e05d4887a7f459b2640303adf171bfb5,decompiled_test_prefilter.cpython-312.py,test_prefilter.py,69,69
02eb5917745fe7374ddf7e8dd0624123980a6a6db342229550b05cd16dc4eafb062d94d430826934981a6dee4382b43b85583ca89f883de4657318e6f2506462,decompiled_A_68_02_8.cpython-312.py,A_68_02_8.py,1427,1425
0140aff95b4bfd3f03e562aed097d023e1eee322544c65441ff640990b8052e223058c10551fd1b18800936eef781f279024757f98c4404238541939d7ac0822,decompiled_automatic_workflow_job.cpython-312.py,automatic_workflow_job.py,40,165
01248edfe13e42cdd135d46699b2bf98b0297f479ed5e225814f124e15154e01c3c76bba93b07cd83f2b370f92785316c56890d5fa573f76aaf00bb4636d77bb,decompiled_managed_cluster.cpython-312.py,managed_cluster.py,4712,6590
0184e3785a5571f527d7bbae88b18e447ac06b1efaefb0626a8676c31fe9698df4040eab96479c29aa8904f4433918ad1cbe24f57b8b5f493330ee02f9fb39e8,decompiled_common_recovery_request_paramsae1b0dbe35e54e869ddd_fd34af026fcb_couchbase_params_wrapper.cpython-312.py,common_recovery_request_paramsae1b0dbe35e54e869ddd_fd34af026fcb_couchbase_params_wrapper.py,449,228
01a796efdc52757ef5ba75bbe0b93c1cc113ec5536cecc9be7dd247477066edaf2834ecc2eb40b837b3869920d611f4c1a8f8951d4b0a1a8597867032c7a8fb9,decompiled_artemis_line_transformer.cpython-312.py,artemis_line_transformer.py,580,994
009caeeccf4c63851cae471e21ebf4db2d651ef880073af0d08addd400d128128918d8397f82525d5b6b646915ebe1ba9cc234ec025a605cb36c085904ef9eb8,decompiled_molgan_featurizer.cpython-312.py,molgan_featurizer.py,475,1191
005055d0ed6be8bdbc7969d7e67c393c48208ddb1b96d7e274bbe90347cccac26b3d27b6eff66831b9a645e4bee0ae7b76e4016746732881efefcd003fb5ae08,decompiled_mangas.cpython-312.py,mangas.py,251,6223
00416e0a2ee2152088960cbc8db1be8544d9824db499b007b1e7f1b374509cc07ca0edfabd4ab25caefca747ec74c22b18626107bde37100bfc86c9497f38265,decompiled__diagram.cpython-312.py,_diagram.py,1985,2146
02e9636e4ba14a9c3ba42517c0ad9f12cc8f8e575235e2f48c55c7d7e21ca926a1ef4eb8051b63113f02777ebec9d35f054fdd1a2a52f5fe2136a299d793cada,decompiled_testconfig_febee2e7555468fb1e1b7adf82d645f2.cpython-312.py,testconfig_febee2e7555468fb1e1b7adf82d645f2.py,7595,5436
003f4c300abb4d90f924b18a2eb3c0f19642ed1c08f1907cc4267b140189c6d7f01537bb6e92d5cb30024fce6e6b363b650dfb38354915bdec8076e934a19933,decompiled_test_scalarmath.cpython-312.py,test_scalarmath.py,840,2445
02508526ef6960d1163ad16d87c8c3baa1d992f4c6cde02bd712f010b731392549c89328359e772e537d31a4597048cebb3cb313895b87f272c40ec6c5a43c26,decompiled_dynamic_settings.cpython-312.py,dynamic_settings.py,1428,297
010faebe3b0c90e01be92b67d50b7ba003f10486b37db2e2aff92e0fb7049b43f26ac5a91b9d5eee940eaf7bb60f31f0a78017c0c5ae4c8863e93ce69912245e,decompiled_route_table.cpython-312.py,route_table.py,1489,2642
012faa6bc9ff1856da6e497129db5afddaa78d9560a4dd09e2891f47c21b7cccef0d1eb8e9195251fdc28692991c2e9de565eddfd7fd5a3d8699b202b666ac73,decompiled__network.cpython-312.py,_network.py,676,3516
0011951bd79b74c763afe50ce3d3d8bf6f422c5f03de99dcc2605eaa87e8565615e14f12403524148044affd5957a86835109e67b89dba469723f8e62fbfe788,decompiled_UFGrowth.cpython-312.py,UFGrowth.py,476,2548
022f296dc12b9615e34d56b3e3976ba95a114b67a94d4ffbc71c4a19d793a053fa2f35d4936e16de8fac6e186f4548f161770789e0a4cdfe40203cfa684b4eec,decompiled_audio_separator.cpython-312.py,audio_separator.py,108,165
026221e388d7e888cdf036358fa4c5685134da7e1de90d1102e44d9f36b3ba24551e904a75941e3902ee4f14129d1825bac5117fcbdafa3b33462d8dce6600c0,decompiled_snapshot.cpython-312.py,snapshot.py,751,1409
02b056d9d9250347e2393e2c44d8b0e68b9b4c2e2016da7e31a2166c5040aa2e47c7fe59ce19b84426b07e1fa70fac0402608ceea927910cb7d0f5a22197a134,decompiled_sequencer.cpython-312.py,sequencer.py,35460,33210
028315c92c1e584bd6125abf149d780dbf3a1c99743d588f05b44233f2493c21f16ec7eb74d33c6f47365d7f50f35fd2ee83b4c6b1f80dad8695ae03d2a94c8a,decompiled_fs_abilities.cpython-312.py,fs_abilities.py,1314,1090
028baef3b9e1b9a7035ec2cdb72f91566e7d2e0d164e3cad1efcab76bc07e551db38a8003102786bee319142ef333f348060d4c20b1ca12290c77580818a56b6,decompiled_DRB1_0495_9.cpython-312.py,DRB1_0495_9.py,1530,1527
00d02ddf5fa1d27340ab53771d6982cb033ef36996b9d66845a81187e8d718b5347f38d8828be8fa33f4c326af691793d3c3b5b3bca58c21d9f01617c6f324bf,decompiled_chunk_generator.cpython-312.py,chunk_generator.py,1426,1433
00eabd530f4d2e63f9c98621eee1893d4df762b90325e34cd392c9604c2509302b477954664a87f7dea4c3fc307c562a0b44c87e475828cafd83b4c7fef400b3,decompiled_cdb_mysql.cpython-312.py,cdb_mysql.py,1111,1097
012e59fc4df4e7a44e989c7185e8d68d65c1af2820ff7c4ba1a619d5ba927c580b04145230b4f0135799bc59f31ff946b90274c9d23da8332524c89eaa32309e,decompiled_retrieve.cpython-312.py,retrieve.py,566,554
00b6e2128ff61a0745663626feefc13e9ce137447118cf15be7d47a9f182b358322ded590b59fca569107da850cefc2410eb5add07886fc3d93b2a54c8fa561d,decompiled_timer.cpython-312.py,timer.py,3180,3356
029466297467939b9196201b5076a949197da38fda7e8cc4b944353da0e1ab55020be1918c2cdc2ceb60d09a98f1502fb9e8519d51375cd8dee3c8e51e085ada,decompiled_html_parser_bs4_concise.cpython-312.py,html_parser_bs4_concise.py,3843,3888
017e619ed8b968765fef64452009f10c183a09e64acb5ddc27d061f9c96482e96740c2be797e2389356fec7cd6c8ce0d5c3749a98e3bbf547e07e4db6339c30a,decompiled_vendor_contract_response_py3.cpython-312.py,vendor_contract_response_py3.py,77,1
00987483b92b457cc2b589f526821903325db983953753bc0df2b83249a46c79e21fbd51c467aee9a636028e6f5a80f18c0caebaafc9e45dbf0d4211743d7f7e,decompiled_lanepoints.cpython-312.py,lanepoints.py,812,1086
016fe0977af3d536f5de4a8e6cbfecf98c30c34ab8e777a16f74f6cc868c7f487f087ba503acc9c87c5f2883e1ab4b4fadda08cbc2fb0b5b4d0ef9f4fdd4b62e,decompiled_arpes.cpython-312.py,arpes.py,2567,2579
00fe763515e346df01733fce8601b605ee70dc037c1584f9dd4ed415c33afb0d84d305c05cf30159d5c5e6b65f995045cc62bae4f7698b4ba4405c353d101ad6,decompiled_test_ssm_boto3.cpython-312.py,test_ssm_boto3.py,4288,4351
01e2a39a0dfcbbefb99bb7f0272ea23f6e18dbb3cb298f544bfe1936e617b3afe7cc25b4320b5ea40c64a054f7b24b5b86949d3a8e7beb9e1894f0ba3bb05192,decompiled_lines.cpython-312.py,lines.py,339,84
00ea4952d5c59ba6e2bc29d63c509b7d2cb1c7b34208997cf5a9edf3d575396f6d6dd8e52f5935abfc23c3a074c2c200e15f8a5076bb43eba93c171c23c36ae4,decompiled_accents.cpython-312.py,accents.py,914,913
00fbb8f6968ab2e546230bac94bf1949b7f7ed74fbf80339b9e5b54f9d1bc25de093ff481433a580bf876235d5e2eeb729dd90414cfc6844258f4fa76577ed16,decompiled_test_release.cpython-312.py,test_release.py,2069,2060
02221332d5c5b39209269ade230a8d67e07a8a45c572621d7ca90f2bb4747c796a50ad80c9c7e75e322fc160429a44d6626841acd2582e56a7e80d83485473d8,decompiled_comfort_mapping_entry_point.cpython-312.py,comfort_mapping_entry_point.py,226,161
00ac4e89f42ff541551a782967b6e17620e8d6892b6ef52b9e0c54d0e54f725b1acc904d35e5e64cc4dd2b37b4fe5e692bdaae12fdc6933b8dadccb5c7cad137,decompiled_tk.cpython-312.py,tk.py,146,145
01c8d3c24ec97f8a36bc0e0b020da709599e4b63b6ea50753bad1cfebbc18f6851929cce761edcde57bbb6431101aa88333df1e327d229320fd320b88e245009,decompiled_add.cpython-312.py,add.py,5124,5237
000d0b32f11e96ebd2b97c16588955cfcd379785218a3f8d994f7844feaa421f579c4e2d861d868f409cb732c0065cb1ffdd8689a8a0f69d570b628da320be04,decompiled_items.cpython-312.py,items.py,4014,4018
01d15ac3dbecdfd8fee21f06d2e594daf48c9f5e8863ccf4e4961a64edaaf0e2cbba6a3188d2dc4bf93d8013632103e92695b2e9d3237ed62961cc175ab86ab0,decompiled_test_units.cpython-312.py,test_units.py,18039,18039
0200b1b2d80fd2e3449be68624c21348d31a00086e90d2b71011888f5be35113ecf9167fa7399c926ed259aa9c64dd5670f2222f74e3deca15858258d4435596,decompiled_express_route_circuit_peering.cpython-312.py,express_route_circuit_peering.py,6614,9409
0193ea8b5b3739062ea740762fee6392474d9d7ba2587aa2c53428af4051e79328b83af7bdff36616271c0d730cf67719c8bc3c81c88bf279082e5f563e2e230,decompiled_basic.cpython-312.py,basic.py,15718,15730
0291813bec59977737252464780544abf9f08c1420a3338f5b419a97ddac0f90b6d3b83061e64b41f18cfd808b5e2d765221a724441355703129eab0af444eda,decompiled_api_management_service.cpython-312.py,api_management_service.py,10553,9058
00840fd0ef6057100c2733cdd9ae8a522304412f479d5abf30f8d1ee0c370de87e03d9a7e135ec463f879aea250582790d73030a73437de8187124a10b4f3c64,decompiled_tabulate.cpython-312.py,tabulate.py,4102,4127
01d57caecbecbfa42946fe714987e8cd711b2e113e16f0d656560b801a806111854fb66a45c1840d36436aaacbfcc5f433a23d27639dc3e5a42064ddeacc9788,decompiled_requirements.cpython-312.py,requirements.py,3227,3230
