file_hash,decompiled_file_name,raw_file_name,d_lookup_vs_decompiled,d_lookup_vs_repaired
025bcf101990c51854d7caa7c53055cdd6e9119e6c5e1764245bcc37ecb1ae92f73c434a962f41411729e6b5a722479e7c5736b316c6f007328524c6bd0f2531,decompiled_jvccommands.cpython-312.py,jvccommands.py,1118,1450
008769cfa97d59dfa51e62b706c58395c46bc887a981999499f691e1b8e3d72b11f4cc31c12f4b236a60333d7f2c4f54906ad5bef214fbe0b385345efe94063d,decompiled_NISQA_model.cpython-312.py,NISQA_model.py,1037,1055
0021a4762616818e8d4132c6c47a120fa08d8c5fa099382ae4fa21f4b418b33ff0fa26b8b85f9f6437cef7ef4b97b54b1ee70e824cf50bad14e41739f370a500,decompiled_feature_node_universes.cpython-312.py,feature_node_universes.py,15642,15546
00c778a21a451602c67e92625cfbad1c5ecd17c94079426d1b2919595579c1d32d9673d2134f9c61a80a321e74b621853385494f07415bfbca3bc0901223badf,decompiled_icl_prompt_template.cpython-312.py,icl_prompt_template.py,160,150
008c16378fbd7120241739f31e6c167ed73c7d44255c208fd4b4c4922d421731dddad0727cb4d8e114a41f56296185fd0a4f0462c7e7d4448b3fcff8a17615ca,decompiled_bier_template.cpython-312.py,bier_template.py,4210,3543
009d50defcb40f008c3e2289e85b2d2bc74bd2f06b008d45d81b954ce7d0a8a5437ab56c0557bcaa19ab0f17afeef670c5be934d4170cde47d7f61ac548d1128,decompiled_bigone.cpython-312.py,bigone.py,3056,2828
0253cf135a521e0fc84fa527b09e38ddd53ab7e895a4552633b2af1af079d88a69a2f894a9e3208b6065c162606f805840708d3be0d2048d5f1439866833b15d,decompiled_qupath_reader.cpython-312.py,qupath_reader.py,284,276
00ef84723bf152924c9e2c63d7899bddf958556d0a0583189a0f07dfdeb34eaf1277607e69dec84d9c32b77bf51aa48b8818fdb75c972b8e385513967b9abdb4,decompiled_jira.cpython-312.py,jira.py,111,114
001cd58f00fdbcde414b3d787ac1e0a32a8e7954abfdf3dee91851ee3333e6815ff117e845cd5b7c96b14a61a81640f74c3f83551cff978073396bab7751eb1b,decompiled_test_check_amarisoft_stats_log.cpython-312.py,test_check_amarisoft_stats_log.py,41,51
0252292835794a65dc77d88941e4a7ea2ae508c13a0c16893fc720b942669fc11b144dc35e2ec0aeebe8b2e5943fb5e88e0e022201ca1f2ccea4b0d14d0a5bb1,decompiled_MusicHelper.cpython-312.py,MusicHelper.py,318,671
02b48494e86b973d49018fba550dad02e443b6c8e7831ddae598e811f02c85fbeb72a2f8b478ae0876f7ce16f97cdf6f2a3d20532f74ebed06648e4c2c08fc33,decompiled_kubernetes_cluster.cpython-312.py,kubernetes_cluster.py,32974,30911
0049b3e8bb53f8429af08ace48e8ec78642c1257a1dcb9cbae8c94c04b0a2541a76a96f044346b6cf16f90414ebeaa5a8af2ccb37099816c4a8f958a40912656,decompiled_preparer.cpython-312.py,preparer.py,302,319
00c4dccf9d7f21846040a3abe4c9e1fee71350407818ac7bd055aefb9e04bef04410868d65518571d74930f98d995cb5783fc7b58a88d59b5a352f70ba16bd58,decompiled_threads.cpython-312.py,threads.py,371,790
00691fdb5e97d9583b08acdbc20f859bd428a87ba30a212b0100ca676e87a53a74e1298b265e7312165aba9498f35429eaa1eef3d3844126b934b5a650b747d3,decompiled_get_contest_codechef.cpython-312.py,get_contest_codechef.py,1302,18678
011cf3365f18329fcbac4bf38f7c0c69faa94fbed5689c19a2b162644034d9702c2669fd005836f7adf60146d7092bb9139d7006c7b00df8bbc91f0fbc31b19d,decompiled_climate_mode.cpython-312.py,climate_mode.py,4028,383
00109c98fab299db82ab241c129b10ef710efb357475b2805018f5936d9bf0f980b761a39145ba20b4021c3e65681981116d4637c0cdaeb7cf8ccb06d4794de5,decompiled_region_network_endpoint_group.cpython-312.py,region_network_endpoint_group.py,1814,4990
024a124140f32a4744f9f579f094d7e4dd8b09b269b9c333b38d84dcdda4ff8482c6e823b05b4f70aa030193f487b8390d44065e27fc1829e093cec037667b11,decompiled_bitrue.cpython-312.py,bitrue.py,8303,8618
